ID,Ability,Category,Description
1,Sentence Boundary Control,Functional,Zero run-ons or comma splices in a 5-sentence paragraph.
2,Tense Consistency,Functional,Maintaining a single temporal perspective (past/present) throughout.
3,Active Voice Mastery,Cognitive,Converting 5 passive sentences into punchy active ones.
4,Subject-Verb Agreement,Functional,Correct handling of collective nouns and indefinite pronouns.
5,The Show Don't Tell Pivot,Cognitive,Rewriting a telling sentence (e.g. 'He was sad') into a sensory action.
6,Dialogue Punctuation,Functional,Correct use of quotation marks and speaker tags.
7,Variable Sentence Length,Cognitive,Writing a paragraph using the 1-5-15-5-1 rhythm (word counts).
8,Pronoun Clarity,Functional,Eliminating vague this and ambiguous he/she references.
9,Parallel Structure,Cognitive,Ensuring list items or phrases match in grammatical form.
10,Strong Verb Selection,Cognitive,Replacing 10 to be verbs (is/are/was) with action verbs.
11,Apostrophe Precision,Functional,Zero errors in possessives vs. contractions (it's vs its).
12,Logical Transitioning,Cognitive,Using three different bridge words to connect disparate ideas.
13,Modifier Placement,Functional,Eliminating dangling or misplaced modifiers.
14,Specific Noun Usage,Cognitive,Replacing stuff and things with concrete imagery.
15,Semicolon Competency,Functional,Linking two independent clauses correctly without a conjunction.
16,Point of View Integrity,Cognitive,Maintaining 1st or 3rd person without accidental POV slips.
17,Introductory Phrase Commas,Functional,Correct comma usage after dependent clauses.
18,Cliché Elimination,Cognitive,Identifying and replacing 3 overused idioms with original metaphors.
19,Paragraph Unity,Cognitive,Ensuring every sentence in a block supports a single Focus Point.
20,Self-Correction Loop,Functional,Finding and fixing 3 intentional errors in a provided text.

