Element Name,keyfreemusic Melody
Hydrogen,"0 7 0'"
Helium,"4, 4 4' 4''"
Lithium,"9 2' 9'"
Beryllium,"* 4' @'"
Boron,"10 3' 8'"
Carbon,"0 4 7 0'"
Nitrogen,"2 7 2' 7'"
Oxygen,"4 7 @ 4'"
Fluorine,"8 5 2 8'"
Neon,"9 0' 3' 9'"
Sodium,"@ 5 2 @"
Magnesium,"0 5 9 0'"
Aluminum,"2 8 2' 5'"
Silicon,"3 7 0' 3'"
Phosphorus,"5 9 0' 5'"
Sulfur,"5 0' 4' 5'"
Chlorine,"7 2' 5' 7'"
Argon,"9 2' 6' 9'"
Potassium,"@ 4 7 @"
Calcium,"0 4 7 0' 4'"
Scandium,"2 7 @ 2'"
Titanium,"3 8 0' 3'"
Vanadium,"4 9 2' 4'"
Chromium,"5 @ 3' 5'"
Manganese,"6 0' 4' 6'"
Iron,"7 2 5 9 7'"
Cobalt,"8 0 3 8'"
Nickel,"8 1 4 8'"
Copper,"9 2 6 9'"
Zinc,"@ 3 7 @"
Gallium,"0 4 8 0'"
Germanium,"1 5 9 1'"
Arsenic,"1 6 @ 1'"
Selenium,"2 7 0' 2'"
Bromine,"3 8 1' 3'"
Krypton,"4 9 2' 4'"
Rubidium,"5 @ 3' 5'"
Strontium,"6 0' 4' 6'"
Yttrium,"6 1' 5' 6'"
Zirconium,"7 2' 6' 7'"
Niobium,"7 3' 7'"
Molybdenum,"8 4' 8'"
Ruthenium,"9 5' 9'"
Rhodium,"9 6' 9'"
Palladium,"@ 7' @"
Silver,"* 8' *"
Cadmium,"0 9' 0'"
Indium,"0 @' 0'"
Tin,"1 *' 1'"
Antimony,"1 0'' 1'"
Tellurium,"2 1'' 2'"
Iodine,"3 2'' 3'"
Xenon,"4 3'' 4'"
Cesium,"5 4'' 5'"
Barium,"5 5'' 5'"
Gold,"1 7 4 1'"
Mercury,"2 8 5 2'"
Lead,"3 9 6 3'"
Bismuth,"3 @ 7 3'"
